real_name,manna,bedk1,bedt1,bedt2,kaq1,sy1,cn3_swf0.3a,esco0.95a,lat_ttime0a,latq_co0.2a,perco0.05a,perco0.5a,awca1,awca3,awca5,awca6,bda1,bda2,bda3,bda4,bda5,bda6,ksola1,ksola2,ksola3,ksola6,zsola4,zsola5,zsola6,lat_lena1,lat_lenb1,surq_lag
0,0.0299424,7.71217e-06,0.566941,0.0273733,0.145007,0.00334661,0.8,0.116543,0.5,0.178295,1,0.611693,0.112666,0.227747,0.0741451,0.144614,1.41036,1.5129,0.893,1.45622,0.998,1.57656,32.0933,43.4945,6.25,13.8697,720,741.817,1814.96,90,15,1.04844
1,0.0199509,5e-06,0.504138,0.183286,2.74942,0.00575981,0.8,0.333543,0.5,0.1088,0.529068,0.817087,0.262334,1,0.607943,0.176188,1.37159,1.58233,0.893,1.248,0.998,1.44887,7.24,16.7585,6.25,48.5554,599.213,862.435,2242.64,90,15,18.6853
2,0.0183043,5e-06,0.223263,0.115041,1.94584,0.00718525,0.3901,0.0270639,0.5,0.0544652,1,1,0.922102,0.325172,0.0819506,0.0547,1.38415,1.36649,0.893,0.963,1.06639,1.38506,39.5837,66.4097,9.16914,25.4974,597.153,807.22,1604.5,90,14.0616,5.80129
3,0.01,1.60455e-05,0.532764,0.0250226,0.240643,0.003,0.17677,0.0395731,0.593148,0.0649961,0.254339,0.308515,0.186115,0.256854,0.309716,0.0547,1.41747,1.53159,0.893,0.963,0.998,1.54722,7.24,15.4607,8.20406,38.1001,623.096,1055.91,2092.84,69.1202,10.4319,0.135512
4,0.013549,5.55685e-06,0.222945,1,3.58798,0.00335799,0.8,0.426806,0.5,0.7,0.757022,1,0.0686231,0.14396,0.169134,0.0890116,1.66618,1.11834,0.893,1.03123,0.998,1.05278,17.6866,25.1701,13.1129,7.33688,720,1059,1496.64,84.0089,14.6752,0.169313
5,0.0341437,6.18444e-06,0.485519,0.114241,0.332106,0.003,0.8,0.920705,1.14674,0.0323785,1,0.180597,1,0.0818234,0.265375,0.395523,1.32799,1.65936,1.27243,1.13826,1.32393,1.12463,17.3018,54.6098,38.8035,143.224,720,805.745,1854.5,74.8258,12.3603,1.44195
6,0.0317733,8.07005e-06,0.499076,0.728927,0.522583,0.00314353,0.8,0.134612,0.5,0.0209387,1,0.70923,0.159746,0.240474,0.0891094,0.0939817,0.99699,1.2084,0.914538,1.19526,1.23137,1.28007,25.4051,28.8203,6.89463,32.0679,639.107,1143.24,2055.7,80.0494,12.0426,0.514813
7,0.0199439,3.66925e-05,1,0.0792246,0.160687,0.00357752,0.66752,0.571723,0.653577,0.1176,0.363392,0.234406,0.986979,0.517561,0.107351,0.0607469,1.23263,0.877849,0.893,0.963,0.998,2.38411,26.2949,113.523,6.25,13.7926,684.145,768.466,2030.92,90,11.3777,0.113321
8,0.0191868,1.72654e-05,0.359216,0.224775,0.104357,0.003,0.610102,0.249292,0.744094,0.258772,0.509574,0.75758,1,0.420986,0.479877,0.121841,1.34084,1.65859,0.966802,1.56092,0.998,1.36434,7.24,29.2155,6.25,58.5422,618.086,933.101,2215.54,90,15,0.160667
9,0.01,1.503e-05,0.480534,0.343117,0.124935,0.00490587,0.370471,0.0357256,0.669761,0.122452,0.688491,0.830555,0.19936,0.110374,0.16369,0.0600743,1.12962,1.54896,1.21892,1.42821,0.998,1.6158,9.10805,49.2424,11.6485,11.3204,720,1052.62,1598.23,90,11.6263,4.4081
10,0.0300854,5.23824e-06,0.198969,1,0.282659,0.003,0.8,0.786059,1.05446,0.0437494,1,0.0993691,0.272769,0.524869,0.211659,0.0547,1.35741,1.05658,0.963025,0.963,1.26318,1.18649,7.24,7.01,6.25,74.5753,720,772.074,1615.76,90,15,0.788833
11,0.0155243,7.95135e-06,0.59365,0.0238867,0.20778,0.00821605,0.8,0.380141,0.5,0.229902,0.296298,0.958412,0.0599,0.408422,0.124982,0.0757106,1.65348,1.97872,0.893,1.22335,0.998,2.29386,10.9966,180.639,16.8509,24.1048,644.117,859.177,1950.34,76.3815,13.4219,0.314505
12,0.01,1.02376e-05,0.714162,0.43891,0.455883,0.00385594,0.254438,0.0138339,0.5,0.0827894,0.514445,0.20166,0.417494,0.146358,0.274239,0.0547,1.03302,1.20209,0.919472,0.963,1.10528,1.45189,76.6104,94.6693,11.4755,8.06882,720,912.741,1914.87,65.1498,7.52621,0.0893199
13,0.01,5e-06,0.366489,0.0342166,0.133662,0.003,0.8,0.0280029,0.570849,0.120029,0.8318,0.154661,0.407422,0.179144,0.0738971,0.0547,1.15383,1.35999,0.89721,0.963,1.56458,2.5,40.099,13.6044,6.25,67.295,671.087,931.475,2400,80.3958,15,8.17825
14,0.0780576,5e-06,0.113873,0.0817706,0.0144505,0.003,0.181159,0.0244618,1.18253,0.0233476,1,0.919871,0.507908,0.100314,0.081585,0.0547,1.81293,0.815,0.893,1.42228,1.17494,1.90165,40.7396,39.5461,12.5969,51.2788,591.17,840.937,2400,90,12.5532,1.04424
15,0.0382664,1.03157e-05,1,0.32593,0.160437,0.003,0.8,0.265412,0.532418,0.592236,1,1,0.725903,0.431773,0.0552,0.0547,1.09249,2.5,0.893,0.963,1.12385,2.29964,7.24,49.5514,6.25,42.5549,531.925,813.808,2299.43,74.1202,15,0.372748
16,0.0580031,7.12181e-06,0.970929,0.106772,0.0907942,0.003,0.483512,0.344477,0.5,0.130852,0.763551,0.0825369,0.735162,0.803065,0.241312,0.07456,1.66753,1.31595,1.28046,0.963,1.055,1.33998,24.0346,69.7831,7.13788,65.9759,720,892.981,1846.14,72.7523,14.6826,13.4588
17,0.0215651,5e-06,0.369906,0.696521,0.934192,0.00560711,0.366905,0.0727971,1.8998,0.132948,1,1,0.350152,0.0916893,0.164379,0.0547,0.822432,1.15989,1.18907,1.26372,0.998,1.36903,66.495,32.7465,8.81545,16.0402,615.186,1047.45,2212.96,73.7336,13.5515,0.05
18,0.01,4.99946e-05,1,0.0563107,0.173346,0.003,0.8,0.291934,0.5,0.0585709,1,0.126148,0.51197,0.14353,0.847361,0.0547,1.07982,1.24952,0.893,1.07073,1.34263,1.47544,14.3103,27.1149,6.28292,17.7814,720,941.498,2068.4,85.5147,13.6148,0.698008
19,0.035992,5e-06,0.368214,0.249642,4,0.00490592,0.8,0.199358,1.06011,0.207727,1,0.44579,0.245714,0.324141,0.63419,0.061238,0.828526,1.27561,0.893,0.963,0.998,1.78879,44.3029,49.5947,6.25,8.25174,720,906.837,2141.32,79.5424,15,0.887594
20,0.0100362,2.152e-05,0.556819,1,0.038402,0.00363454,0.8,0.659037,0.5,0.0759206,0.639367,0.350388,0.419716,0.331313,0.0769155,0.0584146,1.2963,1.11437,1.31114,1.23544,0.998,1.76543,25.1931,16.9369,6.25,68.397,566.421,979.805,2382.93,81.6395,10.2778,1.32753
21,0.126256,0.000131218,0.531184,0.693848,1.89565,0.0060106,0.613726,0.277593,0.571678,0.017083,1,0.271047,0.379418,0.484906,0.275797,0.0685239,1.1425,1.93759,1.01021,1.34595,1.08019,1.3833,8.60879,85.2056,6.25,65.9418,543.544,828.869,1596.76,90,14.7734,6.49569
22,0.0703024,1.9444e-05,0.212889,0.0706922,0.638633,0.003,0.284019,0.0745498,0.5,0.7,0.102798,0.0493756,0.190716,0.213775,0.0552,0.0547,1.23229,1.2559,0.893,1.05971,1.05181,1.42704,7.24,7.16264,27.1127,36.0852,720,1002.49,2117.51,90,13.8188,0.0662147
23,0.0145945,5.97821e-05,1,0.372671,4,0.00668844,0.49634,0.0734255,3.32839,0.175157,0.668159,0.171144,0.782328,0.365111,0.176651,0.0547,1.3962,1.26185,1.14794,1.43712,0.998,1.17607,20.0183,29.3077,12.3071,44.2219,698.522,735.437,1907.05,90,14.0227,0.222652
24,0.01,1.50774e-05,0.905604,0.568308,0.626039,0.003,0.483158,0.0264633,0.5,0.22728,1,0.15232,0.437594,0.156874,0.20095,0.0547,1.22903,0.815,0.893,0.963,0.998,1.99943,10.8794,163.741,6.25,78.2144,720,773.249,2282.89,90,14.1115,0.955828
25,0.0266874,5e-06,0.562717,1,3.06115,0.00308301,0.8,0.148483,0.5,0.107357,1,0.103934,0.550827,0.315542,0.304459,0.0547,0.796789,1.0463,0.893,1.12266,1.00615,1.60312,14.1625,74.4838,9.54629,21.7081,720,802.75,2318.52,75.4575,15,0.78357
26,0.0477587,5e-06,0.461902,0.186798,0.948098,0.003,0.586099,0.0640167,0.583264,0.0729956,0.152222,0.63293,0.0953428,0.347402,0.101306,0.0644669,1.00333,1.32274,1.05456,0.963,1.05318,1.88992,14.7325,86.0665,13.8989,28.6688,720,928.627,2390.19,90,8.55705,11.651
27,0.0136664,5e-06,1,0.810824,0.108118,0.00316278,0.725122,0.380894,0.5,0.0506918,1,1,0.244491,0.185366,0.100831,0.0701245,1.44585,0.877782,1.63976,1.61035,1.25534,1.48188,7.24,13.429,6.25,67.7746,720,916.437,2048.22,74.6234,15,2.77822
28,0.0248396,2.25486e-05,1,1,0.759376,0.003,0.8,0.0298751,0.5,0.0110516,0.104214,0.851457,0.141024,0.316417,0.14403,0.0931286,0.996954,1.24891,0.893,0.963,1.17113,1.34891,37.845,29.6595,6.25,37.0239,720,1178.94,1517.73,90,10.4923,1.06759
